Data,Platform,Campaign,Clean1,Clean2,Clean3,Clean4,Day,Month,Year,Date,Time_R,Clean6,Contact Number,Clean7,Clean8,Messages,Platform,Campaign,Date,Contact Number,DayOfWeek
7thDec2024(09:30:55)704879567Subscribers#Unlock Your Potential#[15],YouTube,Unlock Your Potential,7thDec2024,09:30:55)704879567Subscribers#Unlock Your Potential#[15],7th,2024,7,12,2024,12/7/2024,9:30:55,704879567Subscribers#Unlock Your Potential#[15],704879567,Subscribers#Unlock Your Potential#,15,15,YouTube,Unlock Your Potential,12/7/2024,704879567,Saturday
5thDec2024(02:38:15)704875789Reels#Train to Gain#[11],Instagram,Train to Gain,5thDec2024,02:38:15)704875789Reels#Train to Gain#[11],5th,2024,5,12,2024,12/5/2024,2:38:15,704875789Reels#Train to Gain#[11],704875789,Reels#Train to Gain#,11,11,Instagram,Train to Gain,12/5/2024,704875789,Thursday
5thDec2024(11:35:04)604872011Monetization#Train to Gain#[33],YouTube,Train to Gain,5thDec2024,11:35:04)604872011Monetization#Train to Gain#[33],5th,2024,5,12,2024,12/5/2024,11:35:04,604872011Monetization#Train to Gain#[33],604872011,Monetization#Train to Gain#,33,33,YouTube,Train to Gain,12/5/2024,604872011,Thursday
3rdDec2024(05:29:17)604868234Stories#Train to Gain#[33],Instagram,Train to Gain,3rdDec2024,05:29:17)604868234Stories#Train to Gain#[33],3rd,2024,3,12,2024,12/3/2024,5:29:17,604868234Stories#Train to Gain#[33],604868234,Stories#Train to Gain#,33,33,Instagram,Train to Gain,12/3/2024,604868234,Tuesday
6thDec2024(05:43:42)604864456Marketplace#Train to Gain#[10],Facebook,Train to Gain,6thDec2024,05:43:42)604864456Marketplace#Train to Gain#[10],6th,2024,6,12,2024,12/6/2024,5:43:42,604864456Marketplace#Train to Gain#[10],604864456,Marketplace#Train to Gain#,10,10,Facebook,Train to Gain,12/6/2024,604864456,Friday
3rdDec2024(10:20:55)604860678Reels#Unlock Your Potential#[4],Instagram,Unlock Your Potential,3rdDec2024,10:20:55)604860678Reels#Unlock Your Potential#[4],3rd,2024,3,12,2024,12/3/2024,10:20:55,604860678Reels#Unlock Your Potential#[4],604860678,Reels#Unlock Your Potential#,4,4,Instagram,Unlock Your Potential,12/3/2024,604860678,Tuesday
6thDec2024(06:17:45)608569009Explore Page#Unlock Your Potential#[18],Instagram,Unlock Your Potential,6thDec2024,06:17:45)608569009Explore Page#Unlock Your Potential#[18],6th,2024,6,12,2024,12/6/2024,6:17:45,608569009Explore Page#Unlock Your Potential#[18],608569009,Explore Page#Unlock Your Potential#,18,18,Instagram,Unlock Your Potential,12/6/2024,608569009,Friday
4thDec2024(10:27:00)601468768Explore Page#Train to Gain#[16],Instagram,Train to Gain,4thDec2024,10:27:00)601468768Explore Page#Train to Gain#[16],4th,2024,4,12,2024,12/4/2024,10:27:00,601468768Explore Page#Train to Gain#[16],601468768,Explore Page#Train to Gain#,16,16,Instagram,Train to Gain,12/4/2024,601468768,Wednesday
6thDec2024(00:57:01)605065450News Feed#Unlock Your Potential#[10],Facebook,Unlock Your Potential,6thDec2024,00:57:01)605065450News Feed#Unlock Your Potential#[10],6th,2024,6,12,2024,12/6/2024,0:57:01,605065450News Feed#Unlock Your Potential#[10],605065450,News Feed#Unlock Your Potential#,10,10,Facebook,Unlock Your Potential,12/6/2024,605065450,Friday
1stDec2024(09:08:36)705154432Shorts#Train to Gain#[32],YouTube,Train to Gain,1stDec2024,09:08:36)705154432Shorts#Train to Gain#[32],1st,2024,1,12,2024,12/1/2024,9:08:36,705154432Shorts#Train to Gain#[32],705154432,Shorts#Train to Gain#,32,32,YouTube,Train to Gain,12/1/2024,705154432,Sunday
4thDec2024(04:21:39)705158209Explore Page#Train to Gain#[31],Instagram,Train to Gain,4thDec2024,04:21:39)705158209Explore Page#Train to Gain#[31],4th,2024,4,12,2024,12/4/2024,4:21:39,705158209Explore Page#Train to Gain#[31],705158209,Explore Page#Train to Gain#,31,31,Instagram,Train to Gain,12/4/2024,705158209,Wednesday
1stDec2024(10:43:36)605161987Explore Page#Train to Gain#[33],Instagram,Train to Gain,1stDec2024,10:43:36)605161987Explore Page#Train to Gain#[33],1st,2024,1,12,2024,12/1/2024,10:43:36,605161987Explore Page#Train to Gain#[33],605161987,Explore Page#Train to Gain#,33,33,Instagram,Train to Gain,12/1/2024,605161987,Sunday
