Payment Data,TransactionNumber,Clean1,Clean2,Clean3,First_Name,Clean4,Last_Name,Clean5,Customer_ContactNumber,Clean6,Clean7,Clean8,UPI_Method,Card_Name,Clean9,Clean10,Clean11,Clean12,Clean13,Clean14,Date_length,Month,Day,Year,TransactionNumber,Full_Name,Customer_ContactNumber,Date,Payment_Gateway,Payment_Method,Amount,Platform,Campaign
TRXNO0005428//12162024|Vishal|NairMob604868234//Razorpay*CReDIT Card3499,TRXNO0005428,12162024|Vishal|NairMob604868234,Razorpay*CReDIT Card3499,12162024,Vishal,NairMob604868234,Nair,604868234,604868234,,,,,Razorpay,CReDIT Card3499,credit card3499,credit card3499,3499,credit card,credit card,8,12,16,2024,TRXNO0005428,Vishal Nair,604868234,12/16/2024,Razorpay,Credit Card,3499,Instagram,Train to Gain
TRXNO0005429//12242024|Arjun|SharmaMob605184653//Razorpay*CredIt Card3999,TRXNO0005429,12242024|Arjun|SharmaMob605184653,Razorpay*CredIt Card3999,12242024,Arjun,SharmaMob605184653,Sharma,605184653,605184653,,,,,Razorpay,CredIt Card3999,credit card3999,credit card3999,3999,credit card,credit card,8,12,24,2024,TRXNO0005429,Arjun Sharma,605184653,12/24/2024,Razorpay,Credit Card,3999,Facebook,Train to Gain
TRXNO0005430//12222024|MAhesh|ChopraMob608152639//Razorpay*Credit Card1499,TRXNO0005430,12222024|MAhesh|ChopraMob608152639,Razorpay*Credit Card1499,12222024,MAhesh,ChopraMob608152639,Chopra,608152639,608152639,,,,,Razorpay,Credit Card1499,credit card1499,credit card1499,1499,credit card,credit card,8,12,22,2024,TRXNO0005430,Mahesh Chopra,608152639,12/22/2024,Razorpay,Credit Card,1499,Instagram,Train to Gain
TRXNO0005431//12162024|Madhuri|VermaMob600852753*PhonePE3499,TRXNO0005431,12162024|Madhuri|VermaMob600852753*PhonePE3499,,12162024,Madhuri,VermaMob600852753*PhonePE3499,Verma,600852753*PhonePE3499,600852753,PhonePE3499,PhonePE3499,3499,Phonepe,,,,,,,,8,12,16,2024,TRXNO0005431,Madhuri Verma,600852753,12/16/2024,Phonepe,UPI,3499,Instagram,Train to Gain
TRXNO0005432//12142024|Siddharth|BansalMob607953470//Razorpay*DEbit Card2499,TRXNO0005432,12142024|Siddharth|BansalMob607953470,Razorpay*DEbit Card2499,12142024,Siddharth,BansalMob607953470,Bansal,607953470,607953470,,,,,Razorpay,DEbit Card2499,debit card2499,debit card2499,2499,debit card,debit card,8,12,14,2024,TRXNO0005432,Siddharth Bansal,607953470,12/14/2024,Razorpay,Debit Card,2499,Instagram,Train to Gain
TRXNO0005433//12122024|Jeet|ChopraMob608853508//Razorpay*Debit C@rd3999,TRXNO0005433,12122024|Jeet|ChopraMob608853508,Razorpay*Debit C@rd3999,12122024,Jeet,ChopraMob608853508,Chopra,608853508,608853508,,,,,Razorpay,Debit C@rd3999,debit c@rd3999,debit card3999,3999,debit card,debit card,8,12,12,2024,TRXNO0005433,Jeet Chopra,608853508,12/12/2024,Razorpay,Debit Card,3999,YouTube,Train to Gain
TRXNO0005434//12212024|Tanisha|TiwariMob600653584//Razorpay*Debit3499,TRXNO0005434,12212024|Tanisha|TiwariMob600653584,Razorpay*Debit3499,12212024,Tanisha,TiwariMob600653584,Tiwari,600653584,600653584,,,,,Razorpay,Debit3499,debit3499,debit3499,3499,debit,debit card,8,12,21,2024,TRXNO0005434,Tanisha Tiwari,600653584,12/21/2024,Razorpay,Debit Card,3499,Instagram,Train to Gain
TRXNO0005435//12252024|Tejas|NairMob707853886//Razorpay*CredItCard2499,TRXNO0005435,12252024|Tejas|NairMob707853886,Razorpay*CredItCard2499,12252024,Tejas,NairMob707853886,Nair,707853886,707853886,,,,,Razorpay,CredItCard2499,creditcard2499,credit card2499,2499,credit card,credit card,8,12,25,2024,TRXNO0005435,Tejas Nair,707853886,12/25/2024,Razorpay,Credit Card,2499,Instagram,Unlock Your Potential
TRXNO0005436//12152024|Zara|RaoMob604154150//PayU*CreditCard1499,TRXNO0005436,12152024|Zara|RaoMob604154150,PayU*CreditCard1499,12152024,Zara,RaoMob604154150,Rao,604154150,604154150,,,,,PayU,CreditCard1499,creditcard1499,credit card1499,1499,credit card,credit card,8,12,15,2024,TRXNO0005436,Zara Rao,604154150,12/15/2024,PayU,Credit Card,1499,Instagram,Unlock Your Potential
TRXNO0005437//12172024|Jayant|NairMob701354453//Razorpay*DebitCard2499,TRXNO0005437,12172024|Jayant|NairMob701354453,Razorpay*DebitCard2499,12172024,Jayant,NairMob701354453,Nair,701354453,701354453,,,,,Razorpay,DebitCard2499,debitcard2499,debit card2499,2499,debit card,debit card,8,12,17,2024,TRXNO0005437,Jayant Nair,701354453,12/17/2024,Razorpay,Debit Card,2499,Instagram,Unlock Your Potential
TRXNO0005438//12212024|Shivam|GhoshMob705854642//Razorpay*Debit Card3499,TRXNO0005438,12212024|Shivam|GhoshMob705854642,Razorpay*Debit Card3499,12212024,Shivam,GhoshMob705854642,Ghosh,705854642,705854642,,,,,Razorpay,Debit Card3499,debit card3499,debit card3499,3499,debit card,debit card,8,12,21,2024,TRXNO0005438,Shivam Ghosh,705854642,12/21/2024,Razorpay,Debit Card,3499,Facebook,Train to Gain
TRXNO0005439//12172024|Kajal |Gupta Mob709454793//Razorpay*Debit_Card2499,TRXNO0005439,12172024|Kajal |Gupta Mob709454793,Razorpay*Debit_Card2499,12172024,Kajal ,Gupta Mob709454793,Gupta ,709454793,709454793,,,,,Razorpay,Debit_Card2499,debit_card2499,debit card2499,2499,debit card,debit card,8,12,17,2024,TRXNO0005439,Kajal  Gupta ,709454793,12/17/2024,Razorpay,Debit Card,2499,Instagram,Unlock Your Potential
TRXNO0005440//12222024|Sandeep|RaoMob603054944//Razorpay*DEbit Card1499,TRXNO0005440,12222024|Sandeep|RaoMob603054944,Razorpay*DEbit Card1499,12222024,Sandeep,RaoMob603054944,Rao,603054944,603054944,,,,,Razorpay,DEbit Card1499,debit card1499,debit card1499,1499,debit card,debit card,8,12,22,2024,TRXNO0005440,Sandeep Rao,603054944,12/22/2024,Razorpay,Debit Card,1499,Instagram,Unlock Your Potential
TRXNO0005441//12222024|Harini |PatelMob701005607*PhonePe3499,TRXNO0005441,12222024|Harini |PatelMob701005607*PhonePe3499,,12222024,Harini ,PatelMob701005607*PhonePe3499,Patel,701005607*PhonePe3499,701005607,PhonePe3499,PhonePe3499,3499,Phonepe,,,,,,,,8,12,22,2024,TRXNO0005441,Harini  Patel,701005607,12/22/2024,Phonepe,UPI,3499,Instagram,Unlock Your Potential
TRXNO0005442//12202024|Harini|SharmaMob701275619//Razorpay*CReDIT Card2499,TRXNO0005442,12202024|Harini|SharmaMob701275619,Razorpay*CReDIT Card2499,12202024,Harini,SharmaMob701275619,Sharma,701275619,701275619,,,,,Razorpay,CReDIT Card2499,credit card2499,credit card2499,2499,credit card,credit card,8,12,20,2024,TRXNO0005442,Harini Sharma,701275619,12/20/2024,Razorpay,Credit Card,2499,Instagram,Unlock Your Potential
TRXNO0005443//12192024|Siddharth|ReddyMob701905645//Razorpay*Debit C@rd2499,TRXNO0005443,12192024|Siddharth|ReddyMob701905645,Razorpay*Debit C@rd2499,12192024,Siddharth,ReddyMob701905645,Reddy,701905645,701905645,,,,,Razorpay,Debit C@rd2499,debit c@rd2499,debit card2499,2499,debit card,debit card,8,12,19,2024,TRXNO0005443,Siddharth Reddy,701905645,12/19/2024,Razorpay,Debit Card,2499,Instagram,Train to Gain
TRXNO0005444//12162024|Rishabh|PatelMob702175656//PayU*CReditC@rd2499,TRXNO0005444,12162024|Rishabh|PatelMob702175656,PayU*CReditC@rd2499,12162024,Rishabh,PatelMob702175656,Patel,702175656,702175656,,,,,PayU,CReditC@rd2499,creditc@rd2499,credit card2499,2499,credit card,credit card,8,12,16,2024,TRXNO0005444,Rishabh Patel,702175656,12/16/2024,PayU,Credit Card,2499,Instagram,Unlock Your Potential
TRXNO0005445//12182024|Aman|PatelMob702355664//PayU*Debit C@rd2499,TRXNO0005445,12182024|Aman|PatelMob702355664,PayU*Debit C@rd2499,12182024,Aman,PatelMob702355664,Patel,702355664,702355664,,,,,PayU,Debit C@rd2499,debit c@rd2499,debit card2499,2499,debit card,debit card,8,12,18,2024,TRXNO0005445,Aman Patel,702355664,12/18/2024,PayU,Debit Card,2499,Instagram,Grow with Us
TRXNO0005446//12202024|Abhay |SinghMob703435709//PayU*Credit_Card3499,TRXNO0005446,12202024|Abhay |SinghMob703435709,PayU*Credit_Card3499,12202024,Abhay ,SinghMob703435709,Singh,703435709,703435709,,,,,PayU,Credit_Card3499,credit_card3499,credit card3499,3499,credit card,credit card,8,12,20,2024,TRXNO0005446,Abhay  Singh,703435709,12/20/2024,PayU,Credit Card,3499,Facebook,Grow with Us
TRXNO0005447//12262024|Uday|IyerMob703705721*Go0gle Pay2499,TRXNO0005447,12262024|Uday|IyerMob703705721*Go0gle Pay2499,,12262024,Uday,IyerMob703705721*Go0gle Pay2499,Iyer,703705721*Go0gle Pay2499,703705721,Go0gle Pay2499,Go0gle Pay2499,0,Gogle Pay2499,,,,,,,,8,12,26,2024,TRXNO0005447,Uday Iyer,703705721,12/26/2024,Gogle Pay2499,UPI,0,Instagram,Unlock Your Potential
TRXNO0005448//12192024|Biju|RamakrishnanMob604065736//Razorpay*CReDIT Card2499,TRXNO0005448,12192024|Biju|RamakrishnanMob604065736,Razorpay*CReDIT Card2499,12192024,Biju,RamakrishnanMob604065736,Ramakrishnan,604065736,604065736,,,,,Razorpay,CReDIT Card2499,credit card2499,credit card2499,2499,credit card,credit card,8,12,19,2024,TRXNO0005448,Biju Ramakrishnan,604065736,12/19/2024,Razorpay,Credit Card,2499,Instagram,Unlock Your Potential
