Webinar Data,Registration_Number,Clean1,Clean2,Clean3,Clean4,Day,Month,Year,RegistrationDate,Clean5,Clean6,Status,Clean7,Clean8,In_Time,Out_Time,Webinar_timespend,Webinar_timespend (in minutes),Registration_Number,RegistrationDate,Contact_Number,Status,In_Time,Out_Time,Webinar_timespend,Webinar_timespend (in minutes),Webinar Scheduled,Platform,Campaign
"RGNO1465789,Date-14/12/2024,Mob:704875789[0:00]",RGNO1465789,Date-14/12/2024,Mob:704875789[0:00],Date,14/12/2024,14,12,2024,12/14/2024,704875789,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465789,12/14/2024,704875789,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/15/2024,Instagram,Train to Gain
"RGNO1465790,Date-8/12/2024,Mob:604868234[10:27-11:10]",RGNO1465790,Date-8/12/2024,Mob:604868234[10:27-11:10],Date,8/12/2024,8,12,2024,12/8/2024,604868234,10:27-11:10,Joined,10:27,11:10,10:27:00 AM,11:10:00 AM,0:43,43,RGNO1465790,12/8/2024,604868234,Joined,10:27:00 AM,11:10:00 AM,0:43,12:00:00 AM,12/9/2024,Instagram,Train to Gain
"RGNO1465791,Date-10/12/2024,Mob:705154432[0:00]",RGNO1465791,Date-10/12/2024,Mob:705154432[0:00],Date,10/12/2024,10,12,2024,12/10/2024,705154432,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465791,12/10/2024,705154432,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/11/2024,YouTube,Train to Gain
"RGNO1465792,Date-8/12/2024,Mob:605161987[08:13-8:21]",RGNO1465792,Date-8/12/2024,Mob:605161987[08:13-8:21],Date,8/12/2024,8,12,2024,12/8/2024,605161987,08:13-8:21,Joined,8:13,8:21,8:13:00 AM,8:21:00 AM,0:08,8,RGNO1465792,12/8/2024,605161987,Joined,8:13:00 AM,8:21:00 AM,0:08,12:00:00 AM,12/9/2024,Instagram,Train to Gain
"RGNO1465793,Date-7/12/2024,Mob:705169543[19:24-19:28]",RGNO1465793,Date-7/12/2024,Mob:705169543[19:24-19:28],Date,7/12/2024,7,12,2024,12/7/2024,705169543,19:24-19:28,Joined,19:24,19:28,7:24:00 PM,7:28:00 PM,0:04,4,RGNO1465793,12/7/2024,705169543,Joined,7:24:00 PM,7:28:00 PM,0:04,12:00:00 AM,12/8/2024,YouTube,Unlock Your Potential
"RGNO1465794,Date-8/12/2024,Mob:605173320[0:00]",RGNO1465794,Date-8/12/2024,Mob:605173320[0:00],Date,8/12/2024,8,12,2024,12/8/2024,605173320,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465794,12/8/2024,605173320,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/9/2024,Instagram,Unlock Your Potential
"RGNO1465795,Date-12/12/2024,Mob:605177098[0:00]",RGNO1465795,Date-12/12/2024,Mob:605177098[0:00],Date,12/12/2024,12,12,2024,12/12/2024,605177098,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465795,12/12/2024,605177098,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/13/2024,Instagram,Train to Gain
"RGNO1465796,Date-10/12/2024,Mob:605180876[17:57-18:00]",RGNO1465796,Date-10/12/2024,Mob:605180876[17:57-18:00],Date,10/12/2024,10,12,2024,12/10/2024,605180876,17:57-18:00,Joined,17:57,18:00,5:57:00 PM,6:00:00 PM,0:03,3,RGNO1465796,12/10/2024,605180876,Joined,5:57:00 PM,6:00:00 PM,0:03,12:00:00 AM,12/11/2024,Instagram,Train to Gain
"RGNO1465797,Date-20/12/2024,Mob:605184653[12:52-13:50]",RGNO1465797,Date-20/12/2024,Mob:605184653[12:52-13:50],Date,20/12/2024,20,12,2024,12/20/2024,605184653,12:52-13:50,Joined,12:52,13:50,12:52:00 PM,1:50:00 PM,0:58,58,RGNO1465797,12/20/2024,605184653,Joined,12:52:00 PM,1:50:00 PM,0:58,12:00:00 AM,12/21/2024,Facebook,Train to Gain
"RGNO1465798,Date-11/12/2024,Mob:705192209[0:00]",RGNO1465798,Date-11/12/2024,Mob:705192209[0:00],Date,11/12/2024,11,12,2024,12/11/2024,705192209,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465798,12/11/2024,705192209,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/12/2024,Instagram,Grow with Us
"RGNO1465799,Date-16/12/2024,Mob:601609869[16:45-16:55]",RGNO1465799,Date-16/12/2024,Mob:601609869[16:45-16:55],Date,16/12/2024,16,12,2024,12/16/2024,601609869,16:45-16:55,Joined,16:45,16:55,4:45:00 PM,4:55:00 PM,0:10,10,RGNO1465799,12/16/2024,601609869,Joined,4:45:00 PM,4:55:00 PM,0:10,12:00:00 AM,12/17/2024,YouTube,Grow with Us
"RGNO1465800,Date-3/12/2024,Mob:603752035[0:00]",RGNO1465800,Date-3/12/2024,Mob:603752035[0:00],Date,3/12/2024,3,12,2024,12/3/2024,603752035,0:00,Not Joined,0:00,,12:00:00 AM,0:00,0:00,0,RGNO1465800,12/3/2024,603752035,Not Joined,12:00:00 AM,0:00,0:00,12:00:00 AM,12/4/2024,Instagram,Unlock Your Potential
